1 COPPIA: 5 7  T: 0.000496
2 COPPIA: 11 13  T: 0.000505
3 COPPIA: 17 19  T: 0.000507
4 COPPIA: 29 31  T: 0.000511
5 COPPIA: 41 43  T: 0.000515
6 COPPIA: 59 61  T: 0.000522
7 COPPIA: 71 73  T: 0.000524
8 COPPIA: 101 103  T: 0.000534
9 COPPIA: 107 109  T: 0.000535
10 COPPIA: 137 139  T: 0.000545
11 COPPIA: 149 151  T: 0.000549
12 COPPIA: 179 181  T: 0.000560
13 COPPIA: 191 193  T: 0.000562
14 COPPIA: 197 199  T: 0.000563
15 COPPIA: 227 229  T: 0.000575
16 COPPIA: 239 241  T: 0.000579
17 COPPIA: 269 271  T: 0.000590
18 COPPIA: 281 283  T: 0.000593
19 COPPIA: 311 313  T: 0.000611
20 COPPIA: 347 349  T: 0.000623
21 COPPIA: 419 421  T: 0.000648
22 COPPIA: 431 433  T: 0.000655
23 COPPIA: 461 463  T: 0.000665
24 COPPIA: 521 523  T: 0.000686
25 COPPIA: 569 571  T: 0.000704
26 COPPIA: 599 601  T: 0.000719
27 COPPIA: 617 619  T: 0.000724
28 COPPIA: 641 643  T: 0.000737
29 COPPIA: 659 661  T: 0.000744
30 COPPIA: 809 811  T: 0.000809
31 COPPIA: 821 823  T: 0.000813
32 COPPIA: 827 829  T: 0.000816
33 COPPIA: 857 859  T: 0.000831
34 COPPIA: 881 883  T: 0.000844
35 COPPIA: 1019 1021  T: 0.000910
36 COPPIA: 1031 1033  T: 0.000915
37 COPPIA: 1049 1051  T: 0.000928
38 COPPIA: 1061 1063  T: 0.000936
39 COPPIA: 1091 1093  T: 0.000956
40 COPPIA: 1151 1153  T: 0.000987
41 COPPIA: 1229 1231  T: 0.001029
42 COPPIA: 1277 1279  T: 0.001054
43 COPPIA: 1289 1291  T: 0.001062
44 COPPIA: 1301 1303  T: 0.001072
45 COPPIA: 1319 1321  T: 0.001084
46 COPPIA: 1427 1429  T: 0.001143
47 COPPIA: 1451 1453  T: 0.001158
48 COPPIA: 1481 1483  T: 0.001181
49 COPPIA: 1487 1489  T: 0.001186
