1 COPPIA: 5 7  T: 0.000465
2 COPPIA: 11 13  T: 0.000473
3 COPPIA: 17 19  T: 0.000476
4 COPPIA: 29 31  T: 0.000480
5 COPPIA: 41 43  T: 0.000484
6 COPPIA: 59 61  T: 0.000491
7 COPPIA: 71 73  T: 0.000493
8 COPPIA: 101 103  T: 0.000502
9 COPPIA: 107 109  T: 0.000503
10 COPPIA: 137 139  T: 0.000513
11 COPPIA: 149 151  T: 0.000518
12 COPPIA: 179 181  T: 0.000528
13 COPPIA: 191 193  T: 0.000530
14 COPPIA: 197 199  T: 0.000532
15 COPPIA: 227 229  T: 0.000542
16 COPPIA: 239 241  T: 0.000547
17 COPPIA: 269 271  T: 0.000557
18 COPPIA: 281 283  T: 0.000559
19 COPPIA: 311 313  T: 0.000570
20 COPPIA: 347 349  T: 0.000582
21 COPPIA: 419 421  T: 0.000605
22 COPPIA: 431 433  T: 0.000610
23 COPPIA: 461 463  T: 0.000619
24 COPPIA: 521 523  T: 0.000639
25 COPPIA: 569 571  T: 0.000655
26 COPPIA: 599 601  T: 0.000667
27 COPPIA: 617 619  T: 0.000670
28 COPPIA: 641 643  T: 0.000683
29 COPPIA: 659 661  T: 0.000689
30 COPPIA: 809 811  T: 0.000744
31 COPPIA: 821 823  T: 0.000748
32 COPPIA: 827 829  T: 0.000750
33 COPPIA: 857 859  T: 0.000762
34 COPPIA: 881 883  T: 0.000773
35 COPPIA: 1019 1021  T: 0.000824
36 COPPIA: 1031 1033  T: 0.000828
37 COPPIA: 1049 1051  T: 0.000837
38 COPPIA: 1061 1063  T: 0.000844
39 COPPIA: 1091 1093  T: 0.000855
40 COPPIA: 1151 1153  T: 0.000881
41 COPPIA: 1229 1231  T: 0.000912
42 COPPIA: 1277 1279  T: 0.000930
43 COPPIA: 1289 1291  T: 0.000938
44 COPPIA: 1301 1303  T: 0.000947
45 COPPIA: 1319 1321  T: 0.000960
46 COPPIA: 1427 1429  T: 0.001038
47 COPPIA: 1451 1453  T: 0.001062
48 COPPIA: 1481 1483  T: 0.001086
49 COPPIA: 1487 1489  T: 0.001091
50 COPPIA: 1607 1609  T: 0.001168
51 COPPIA: 1619 1621  T: 0.001178
52 COPPIA: 1667 1669  T: 0.001207
53 COPPIA: 1697 1699  T: 0.001229
54 COPPIA: 1721 1723  T: 0.001245
55 COPPIA: 1787 1789  T: 0.001291
56 COPPIA: 1871 1873  T: 0.001348
57 COPPIA: 1877 1879  T: 0.001354
58 COPPIA: 1931 1933  T: 0.001389
59 COPPIA: 1949 1951  T: 0.001405
60 COPPIA: 1997 1999  T: 0.001448
61 COPPIA: 2027 2029  T: 0.001473
62 COPPIA: 2081 2083  T: 0.001517
63 COPPIA: 2087 2089  T: 0.001524
64 COPPIA: 2111 2113  T: 0.001543
65 COPPIA: 2129 2131  T: 0.001552
66 COPPIA: 2141 2143  T: 0.001560
67 COPPIA: 2237 2239  T: 0.001607
68 COPPIA: 2267 2269  T: 0.001623
69 COPPIA: 2309 2311  T: 0.001648
70 COPPIA: 2339 2341  T: 0.001662
71 COPPIA: 2381 2383  T: 0.001686
72 COPPIA: 2549 2551  T: 0.001778
73 COPPIA: 2591 2593  T: 0.001800
74 COPPIA: 2657 2659  T: 0.001839
75 COPPIA: 2687 2689  T: 0.001856
76 COPPIA: 2711 2713  T: 0.001872
77 COPPIA: 2729 2731  T: 0.001884
78 COPPIA: 2789 2791  T: 0.001918
79 COPPIA: 2801 2803  T: 0.001924
80 COPPIA: 2969 2971  T: 0.002016
81 COPPIA: 2999 3001  T: 0.002204
82 COPPIA: 3119 3121  T: 0.002283
83 COPPIA: 3167 3169  T: 0.002307
84 COPPIA: 3251 3253  T: 0.002359
85 COPPIA: 3257 3259  T: 0.002364
86 COPPIA: 3299 3301  T: 0.002389
87 COPPIA: 3329 3331  T: 0.002412
88 COPPIA: 3359 3361  T: 0.002429
89 COPPIA: 3371 3373  T: 0.002439
90 COPPIA: 3389 3391  T: 0.002450
91 COPPIA: 3461 3463  T: 0.002492
92 COPPIA: 3467 3469  T: 0.002497
